"","ID","Symbol","Entrez_Gene_ID","Chromosome","Cytoband","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"74","ILMN_1678191","GDF10",2662,"10","10q11.22b",-3.79397590361446,6.44086746987952,-24.0277997851993,4.37915584718321e-56,2.75176684991918e-53,117.249769604917
"75","ILMN_1766264","PI16",221476,"6","6p21.2c",-4.38491566265059,6.78815662650602,-23.9389092734013,7.08137319735574e-56,4.39045138236056e-53,116.772182247559
"76","ILMN_2174805","CD300LG",146894,"17","17q21.31b",-3.49993975903614,7.89110240963855,-23.9165596769731,7.99217071082017e-56,4.88994655333076e-53,116.651945526486
"77","ILMN_1771233","CHMP4B",128866,"20","20q11.22a",1.94981927710844,9.53265662650602,23.8390364658089,1.21658774319012e-55,7.34692598160269e-53,116.234393407307
"78","ILMN_1753931","CDO1",1036,"5","5q22.3b",-2.99728915662651,6.31192168674699,-23.7560909658506,1.90873917832859e-55,1.13513239069694e-52,115.786790507396
"79","ILMN_1684227","GPR146",115330,"7","7p22.3b",-2.09603614457831,6.06488554216867,-23.7541955896132,1.92850449172168e-55,1.13513239069694e-52,115.776552174452
"80","ILMN_1760160","STX1A",6804,"7","7q11.23b",3.04692771084338,6.93737951807229,23.6913606526742,2.71427631928296e-55,1.57767311058322e-52,115.436875430725
"81","ILMN_1709486","SRPX",8406,"X","Xp11.4e",-3.26744578313252,8.82146987951807,-23.6763757314633,2.94499290216448e-55,1.69064407346479e-52,115.355794901544
"82","ILMN_1740609","CCL14",6358,"","17q12b",-4.02786746987951,9.18410240963855,-23.6513944175314,3.37424768001015e-55,1.91344533073746e-52,115.220562285163
"83","ILMN_1740875","FPRL1",2358,"19","19q13.33e",-3.28769879518072,5.52806626506024,-23.6186312312995,4.03393543416898e-55,2.25997587576937e-52,115.043083257974
"84","ILMN_1658835","CAV2",858,"7","7q31.2b",-3.187578313253,10.0686325301205,-23.5959496379389,4.5651130276161e-55,2.52711614028748e-52,114.920136423864
"85","ILMN_1755727","JARID1B",10765,"1","1q32.1d",1.34215662650602,10.3586445783133,23.5855438767229,4.83178404315481e-55,2.64327009419646e-52,114.863709496111
"86","ILMN_2218208","SPARCL1",8404,"4","4q22.1a",-2.65113253012047,11.7361325301205,-23.541089682312,6.15894158890528e-55,3.33012539400111e-52,114.622494100214
"87","ILMN_1704730","C1QR1",22918,"20","20p11.21c",-2.45261445783131,11.1114638554217,-23.5221728877063,6.82950845503952e-55,3.65025451907285e-52,114.519772257332
"88","ILMN_1707055","GRRP1",79927,"1","1p36.11b",-2.62580722891567,5.78167469879518,-23.4901051017122,8.13804946120576e-55,4.30021931756895e-52,114.345533816916
"89","ILMN_1705630","LOC641700",641700,"5","5q31.2d",-3.33165060240963,5.82178915662651,-23.4582548785705,9.68701881741116e-55,5.06119522482718e-52,114.17234774166
"90","ILMN_1760493","LIMS2",55679,"2","2q14.3e",-2.61365060240964,7.69972891566265,-23.3848213677956,1.44831916506476e-54,7.4829823528346e-52,113.772558966504
"91","ILMN_1815679","LOC131873",131873,"3","3q22.1a",-3.54989156626506,6.77916265060241,-23.3336758833372,1.91732721899178e-54,9.79733139374919e-52,113.49370487335
"92","ILMN_2357419","LILRA5",353514,"19","19q13.42a",-2.87469879518072,5.50871084337349,-23.3196063666552,2.07126558796489e-54,1.04688967217791e-51,113.416936870643
"93","ILMN_1726210","LOC338328",338328,"8","8q24.3f",-4.49886746987951,8.55559036144578,-23.2758760807185,2.63360710353831e-54,1.31680355176916e-51,113.178168437656
"94","ILMN_1666122","HEG1",57493,"3","3q21.2b",-2.27473493975904,8.7775843373494,-23.2613876655575,2.85190456441077e-54,1.41078257707554e-51,113.099007490568
"95","ILMN_1652631","C9orf19",152007,"9","9p13.3a",-2.15142168674699,11.733734939759,-23.204343030436,3.90312560771331e-54,1.91047727114388e-51,112.787069826046
"96","ILMN_1815700","WNT3A",89780,"1","1q42.13b",-4.35410843373493,6.67025903614458,-23.1700512541487,4.71432845298886e-54,2.28350284441648e-51,112.599351773765
"97","ILMN_2176592","BCHE",590,"3","3q26.1e",-3.97439759036144,7.03256024096386,-23.0531432712212,8.98427677284925e-54,4.30689556636588e-51,111.958251425669
"98","ILMN_1676897","HSPA12B",116835,"20","20p13b",-2.81442168674698,7.90884939759036,-23.0339576424439,9.98884621414011e-54,4.7396056016073e-51,111.852874326748
"99","ILMN_1749234","MGC34774",399670,"7","7q21.11a",-3.61053012048193,6.24842168674699,-23.0149474359156,1.10954900858967e-53,5.21151807064845e-51,111.748414310662
"100","ILMN_1762713","MCEMP1",199675,"19","19p13.2e",-5.05181927710843,9.98827108433735,-22.9345354046846,1.7313392662966e-53,8.05072758827917e-51,111.306043469873
"101","ILMN_1655915","MMP11",4320,"22","22q11.23a",5.12018072289157,7.62559638554217,22.9303657395808,1.77178825777136e-53,8.15724296894737e-51,111.283082327422
"102","ILMN_2331082","MS4A7",58475,"11","11q12.2a",-3.0249156626506,9.29596385542169,-22.8920726439415,2.19061396656111e-53,9.98662249461684e-51,111.072109281388
"103","ILMN_2112638","SVEP1",79987,"","9q31.3b",-2.89895180722892,9.6728734939759,-22.8313322952629,3.06834922376276e-53,1.38522562043659e-50,110.737079852122
"104","ILMN_1668247","LTC4S",4056,"5","5q35.3e",-3.53213253012048,7.12951204819277,-22.8029986403311,3.59117718799652e-53,1.60567056963306e-50,110.580636597288
"105","ILMN_1795251","SPARCL1",8404,"4","4q22.1a",-2.77606024096385,11.5638614457831,-22.7549214882198,4.69120785050437e-53,2.07753490522336e-50,110.314945215688
"106","ILMN_1701933","SNCA",6622,"4","4q22.1d",-3.06340963855422,7.19636746987952,-22.7326744815902,5.30917412494294e-53,2.3290244982061e-50,110.191900230323
"107","ILMN_2116299","GRRP1",79927,"1","1p36.11b",-3.14943373493976,8.20290963855422,-22.7101039342446,6.0197511973226e-53,2.61606009977103e-50,110.067001033008
"108","ILMN_2089752","LOC285016",285016,"2","2p25.3g",-3.62608433734939,7.26668072289157,-22.6944808757749,6.56681554447948e-53,2.82737891498422e-50,109.98050912701
"109","ILMN_1669023","FHL5",9457,"6","6q16.1f",-2.57198795180722,5.7080421686747,-22.6839911902395,6.96187451362305e-53,2.96997398975662e-50,109.922418909263
"110","ILMN_1764577","MFNG",4242,"22","22q13.1a",-1.95884337349397,9.54502409638554,-22.6598782400733,7.96289462672364e-53,3.36613272856954e-50,109.788831788691
"111","ILMN_1821052","",NA,"","",-2.71013253012048,5.72610240963855,-22.6401092008787,8.89055320410581e-53,3.72442093685514e-50,109.679254638951
"112","ILMN_1775734","SH2D3C",10044,"9","9q34.11a",-2.40516867469879,9.07856024096385,-22.5932391650108,1.1547275380016e-52,4.79418129616735e-50,109.419260281541
"113","ILMN_1675936","HIGD1B",51751,"17","17q21.31d",-3.63726506024096,8.48257228915663,-22.5853150721139,1.20694894161111e-52,4.96664829955015e-50,109.375276474945
"114","ILMN_2100437","HBB",3043,"11","11p15.4c",-4.38562650602409,12.6530301204819,-22.5154497729699,1.7832137475245e-52,7.2736350227973e-50,108.987131137971
"115","ILMN_2292178","CLEC12A",160364,"12","12p13.2c",-3.33063855421687,5.88600602409639,-22.4862942028733,2.09905012226957e-52,8.48746353787261e-50,108.824968859491
"116","ILMN_1656452","FLJ13909",80178,"16","16p13.3d",2.89089156626506,5.61695180722892,22.4804759863492,2.16850754776493e-52,8.69272422164389e-50,108.792595106968
"117","ILMN_1729216","CRYAB",1410,"11","11q23.1b",-3.03425301204818,8.92813855421687,-22.4789209299356,2.18745940833067e-52,8.69374893054498e-50,108.78394171914
"118","ILMN_1750961","TM6SF1",53346,"15","15q25.2b",-2.51231325301204,7.00461445783132,-22.4396899723132,2.72472127743932e-52,1.07372491017736e-49,108.565531602466
"119","ILMN_1693941","IGSF9",57549,"1","1q23.2c",3.30880722891566,5.87329518072289,22.4210429799673,3.02473982354931e-52,1.18193614953818e-49,108.46164926579
"120","ILMN_1765636","FLJ22184",80164,"","19p13.2e",3.06587951807229,6.00922891566265,22.3303250498285,5.03113555747255e-52,1.94956502852061e-49,107.955624508889
"121","ILMN_1752755","VWF",7450,"12","12p13.31e",-2.24595180722891,13.2222168674699,-22.3251452721299,5.17960869721168e-52,1.99051078033341e-49,107.926699886017
"122","ILMN_2388800","PPAP2B",8613,"1","1p32.2c",-2.11793975903613,10.6082710843373,-22.3129349546575,5.54724996357001e-52,2.11432068283611e-49,107.858502119122
"123","ILMN_2127842","HBA2",3040,"16","16p13.3f",-4.1459156626506,12.4039939759036,-22.2927431572746,6.21359820362785e-52,2.34904322332272e-49,107.745683828532
"124","ILMN_1703593","BAIAP2L1",55971,"7","7q21.3d",1.98724096385542,9.32964457831325,22.2874480579274,6.40127136451114e-52,2.40047676169168e-49,107.716089703121
"125","ILMN_1796976","CARD12",58484,"2","2p22.3e",-2.2253734939759,5.46769879518072,-22.2600759957333,7.46610752766897e-52,2.77739200029286e-49,107.563050935339
"126","ILMN_1815937","MGC9712",202915,"7","7p22.3b",3.42463855421687,6.10162048192771,22.2518310833756,7.82045418771366e-52,2.88611999784671e-49,107.516934350661
"127","ILMN_2186983","ANXA8",244,"10","10q11.22b",-3.34632530120481,6.50888554216867,-22.0982773505049,1.85763077219306e-51,6.80156148873836e-49,106.656465324055
"128","ILMN_2400947","CUGBP2",10659,"10","10p14b-p14a",-3.02910843373494,8.03433734939759,-22.0414717866478,2.56025539390977e-51,9.30092779818784e-49,106.337378865422
"129","ILMN_1757631","MGC3101",79007,"16","16q24.3b",2.5853373493976,6.91113855421687,21.9996820361928,3.2425870820931e-51,1.1688395295917e-48,106.102375007219
"130","ILMN_1740606","PLEKHK1",219790,"10","10q21.2b",-3.29057831325301,5.60502409638554,-21.9879056092407,3.46596487106768e-51,1.23974897311267e-48,106.036110119136
"131","ILMN_1754894","C1orf162",128346,"1","1p13.2d",-2.38061445783132,11.129813253012,-21.9393778344409,4.56171493418687e-51,1.61923469037931e-48,105.762861432293
"132","ILMN_1777190","CFD",1675,"19","19p13.3i",-3.03673493975903,12.1557048192771,-21.8939708596273,5.90033426631509e-51,2.07852684381554e-48,105.506912307453
"133","ILMN_2266962","GYPE",2996,"4","4q31.22a",-2.50218072289156,5.23535542168675,-21.886599637601,6.15216766130482e-51,2.15094583647123e-48,105.465337459422
"134","ILMN_1872404","",NA,"","",-2.05322891566265,7.93485542168675,-21.8748333394265,6.5767101335528e-51,2.28221657619556e-48,105.398959286846
"135","ILMN_1746579","UBE2O",63893,"17","17q25.1d",1.64715662650602,7.82701204819277,21.8009942757953,1.00011142542058e-50,3.44482824311533e-48,104.982000655394
"136","ILMN_1659888","PPP1R14B",26472,"11","11q13.1b",1.64966265060242,10.8555542168675,21.6284092216538,2.67114135542059e-50,9.13294654610716e-48,104.004718427425
"137","ILMN_1775235","AFF3",3899,"2","2q11.2c-q11.2d",-3.22906024096385,6.59940963855422,-21.6190238762702,2.81802723097009e-50,9.56483695183278e-48,103.951463722795
"138","ILMN_1779071","FEZ1",9638,"11","11q24.2b",-2.77269879518072,9.21569879518072,-21.60524423401,3.04850764431272e-50,1.02721453232276e-47,103.873254333705
"139","ILMN_2142185","CLEC14A",161198,"14","14q21.1a",-2.64121686746987,10.3424879518072,-21.5812604913783,3.49572355720444e-50,1.16943270079141e-47,103.737071487358
"140","ILMN_1815908","GYPE",2996,"4","4q31.22a",-2.41755421686747,4.90984939759036,-21.5736692923652,3.65056723820941e-50,1.21250983269098e-47,103.693952354628
"141","ILMN_1667796","HBA1",3039,"16","16p13.3f",-3.94338554216867,12.9847530120482,-21.4590375853277,7.03050185555348e-50,2.30339041514688e-47,103.04193299606
"142","ILMN_2408683","PPAP2B",8613,"1","1p32.2c",-2.09873493975904,8.90796987951807,-21.4589504529142,7.03400943980338e-50,2.30339041514688e-47,103.041436753478
"143","ILMN_1668039","GYPC",2995,"","2q14.3d",-2.25642168674698,9.56839156626506,-21.4428298697291,7.71413826297458e-50,2.50844356103719e-47,102.949609021547
"144","ILMN_1686097","TOP2A",7153,"17","17q21.2a",4.00556626506025,7.80648192771084,21.4291121965561,8.34465037868831e-50,2.69462668478477e-47,102.871442888957
"145","ILMN_1682332","GYPC",2995,"2","2q14.3d",-2.55086746987951,9.33222891566265,-21.384304401406,1.07877955548042e-49,3.45953443654066e-47,102.615951614575
"146","ILMN_2352077","KL",9365,"13","13q13.1b",-2.80497590361445,6.37784939759036,-21.3620588715693,1.22557972357559e-49,3.90338747577157e-47,102.489013895119
"147","ILMN_1671046","HSPB2",3316,"11","11q23.1b",-2.35573493975903,7.47122891566265,-21.3468247458475,1.33752562874115e-49,4.23094841744648e-47,102.402048350488
"148","ILMN_1761945","KSP37",83888,"4","4p15.32d",-3.41246987951807,5.67760843373494,-21.3342210234266,1.4378638792823e-49,4.51761286396127e-47,102.330076372966
"149","ILMN_2332553","MSRB3",253827,"12","12q14.3a",-3.26697590361445,6.83446385542169,-21.3271281098819,1.49761841880123e-49,4.67377560229914e-47,102.289564278432
"150","ILMN_1735438","GPM6B",2824,"X","Xp22.2",-3.52236144578313,6.25527710843374,-21.3241137211018,1.52376221829727e-49,4.72366287672153e-47,102.272345265546
"151","ILMN_1807493","ACVRL1",94,"12","12q13.13c",-2.69607228915661,7.93224096385542,-21.2717538520602,2.05849397511668e-49,6.31114951632052e-47,101.973066718018
"152","ILMN_1690209","C1orf186",440712,"1","1q32.1h",-2.98610843373493,6.51575301204819,-21.2713734928681,2.06299941178649e-49,6.31114951632052e-47,101.970891383535
"153","ILMN_1815032","SOX7",83595,"8","8p23.1b",-3.25510843373493,6.84971084337349,-21.2312452668394,2.59846545017477e-49,7.89729695641352e-47,101.741288229806
"154","ILMN_1689160","DPEP2",64174,"16","16q22.1b",-2.7440843373494,8.12294578313253,-21.2207817487865,2.75970968560607e-49,8.28746378102357e-47,101.681385042523
"155","ILMN_1673639","ABI3BP",25890,"3","3q12.2a-q12.2b",-2.96045783132529,8.889,-21.2206068902134,2.76248792700786e-49,8.28746378102357e-47,101.680383866411
"156","ILMN_1776151","OLFML1",283298,"11","11p15.4b",-2.19544578313253,8.38313253012048,-21.2165504338017,2.82773292997626e-49,8.42881931050616e-47,101.657156991427
"157","ILMN_2345292","FXYD1",5348,"19","19q13.12a",-2.80406024096385,7.0125843373494,-21.1804294578259,3.48138810614192e-49,1.03111176392101e-46,101.450239475801
"158","ILMN_1678170","MME",4311,"3","3q25.2c-q25.31a",-3.98759036144578,7.50310843373494,-21.132987347976,4.57594758731432e-49,1.34671875196276e-46,101.178217214163
"159","ILMN_1688630","RECK",8434,"9","9p13.3a",-2.39068674698795,6.49418674698795,-21.126005822104,4.76390792688661e-49,1.39321835597627e-46,101.138162580988
"160","ILMN_2241953","PILRA",29992,"7","7q22.1c",-2.57521686746988,6.49771686746988,-21.1222532889269,4.86811814732543e-49,1.41479683656645e-46,101.116630868025
"161","ILMN_1664516","CENPF",1063,"1","1q41a",3.32074698795181,6.08427710843374,21.0879859937023,5.93218602530684e-49,1.7133332309116e-46,100.919925293445
"162","ILMN_1702197","C9orf140",89958,"9","9q34.3e",3.40606024096386,5.83611445783133,21.0573980908537,7.07789391804412e-49,2.03161769869785e-46,100.744214639264
