"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"148","FXYD6",2.06944132844121,9.02397981800601,16.9923754975495,2.2226972925197e-33,2.92630113140178e-31,65.4241335167613
"149","CLEC14A",2.51109908353625,10.3683314687058,16.9818338690363,2.34094145028618e-33,3.05321283021106e-31,65.3725297036479
"150","PKNOX2",1.84995693467091,6.72860523045563,16.9810110013199,2.35043327960821e-33,3.05321283021106e-31,65.3685009795766
"151","SDPR",3.12261572145891,9.9014746655692,16.9625103169595,2.5743582613479e-33,3.32194508095125e-31,65.2778999643221
"152","ABI3BP",2.79960459634619,9.01489329238152,16.8930384720897,3.62442610058643e-33,4.64618043223201e-31,64.9373004987756
"153","CARD12",1.532633144908,6.02748051645825,16.8745207263521,3.97086046836692e-33,5.05700759647904e-31,64.8464113347239
"154","C14orf132",2.51062599806518,9.1946269839567,16.8642954898613,4.17622757299926e-33,5.28401261427861e-31,64.7962052029315
"155","PPP1R14B",-1.57605889675694,10.8230352935324,-16.8568306550176,4.33286592786341e-33,5.44683178093023e-31,64.7595444275993
"156","SNCA",1.96570671684182,6.60888584374378,16.8440735382092,4.61434817756093e-33,5.76349834870351e-31,64.6968764061748
"157","VSIG4",2.90887697721966,9.28436455951346,16.8324908322439,4.8858103613122e-33,6.06369521593428e-31,64.6399599023125
"158","LOC400120",1.65786949135264,6.47973019961778,16.7988974905612,5.76741246852318e-33,7.11253366766924e-31,64.4747898941135
"159","AOC3",2.17946429009892,6.92100591871989,16.7772618154239,6.41819737942113e-33,7.86531924138495e-31,64.3683379991579
"160","GPBAR1",1.75809685170009,6.86596877293255,16.7522627588763,7.26264032908789e-33,8.84453417576734e-31,64.245264749894
"161","HHIP",2.31687355853465,6.6270894786953,16.73804279204,7.79192206881325e-33,9.43016158452337e-31,64.1752233884602
"162","CXCL12",2.28103564332113,7.74522979333199,16.6845483121323,1.01547399673464e-32,1.22138955718361e-30,63.9115069808332
"163","PMP22",2.06797520807486,8.56819014172581,16.675703105855,1.06096876640766e-32,1.26828076156155e-30,63.867867638999
"164","TMEM100",4.14141088534984,8.55937425916307,16.6637908632828,1.12549324121047e-32,1.33720950030403e-30,63.8090811553937
